e_norseid,le_id,d_id,e_fname,e_lname,e_job,e_start,e_email,e_contactno,e_note,data_origin
0087,5,3,Franklin,Bohills,Senior Manager,2020-02-01,Franklin.Bohills@Nordwick.co.uk,07700951073,Demo note only,demo
0101,5,10,Towny,Goldhawk,Senior Manager,2022-04-01,Towny.Goldhawk@Nordwick.co.uk,07700997422,Demo note only,demo
0063,5,5,Melisandra,Paunsford,Senior Manager,2017-06-03,Melisandra.Paunsford@Nordwick.co.uk,07700960158,Demo note only,demo
0018,5,1,Liam,Selburn,Senior Manager,2007-04-01,Liam.Selburn@Nordwick.co.uk,07700938041,Demo note only,demo
0019,5,3,Horatius,Eblein,Building Surveyor,2007-04-01,Horatius.Eblein@Nordwick.co.uk,07700977893,Demo note only,demo
0020,5,7,Waverly,Ricioppo,Senior Manager,2007-04-01,Waverly.Ricioppo@Nordwick.co.uk,07700903382,Demo note only,demo
0102,5,1,Dierdre,Luxen,Landscape Architect,2022-04-01,Dierdre.Luxen@Nordwick.co.uk,07700995647,Demo note only,demo
0103,5,1,Dyann,Keynes,Senior Architectural Technologist,2022-04-01,Dyann.Keynes@Nordwick.co.uk,07700924839,Demo note only,demo
0099,5,4,Shellie,Ollivierre,CDM Advisor,2022-02-14,Shellie.Ollivierre@Nordwick.co.uk,07700998570,Demo note only,demo
0138,5,7,Teodor,Betancourt,Senior Estates Surveyor,2013-07-25,Teodor.Betancourt@Nordwick.co.uk,07700980741,Demo note only,demo
0139,5,7,Yard,Keogh,Senior Manager,2016-08-16,Yard.Keogh@Nordwick.co.uk,07700941258,Demo note only,demo
0104,5,7,Doralyn,Durtnel,Land Surveyor,2022-04-01,Doralyn.Durtnel@Nordwick.co.uk,07700937590,Demo note only,demo
0140,5,7,Oneida,Purcer,Senior Estates Surveyor,2017-11-28,Oneida.Purcer@Nordwick.co.uk,07700925466,Demo note only,demo
0141,5,7,Lorelei,Lisamore,Senior Estates Surveyor,2001-11-11,Lorelei.Lisamore@Nordwick.co.uk,07700994015,Demo note only,demo
0037,5,4,Morna,Pracy,Senior Manager,2012-09-11,Morna.Pracy@Nordwick.co.uk,07700976288,Demo note only,demo
0086,5,7,Georgine,McGaraghan,Land Surveyor,2020-01-01,Georgine.McGaraghan@Nordwick.co.uk,07700959873,Demo note only,demo
0024,5,1,Chev,Algeo,Senior Architectural Technician,2009-09-07,Chev.Algeo@Nordwick.co.uk,07700968241,Demo note only,demo
0105,5,1,Harriot,Kleimt,Senior Architectural Technician,2022-04-01,Harriot.Kleimt@Nordwick.co.uk,07700941136,Demo note only,demo
0106,5,1,Noah,Strathe,Senior Architectural Technician,2022-04-01,Noah.Strathe@Nordwick.co.uk,07700907485,Demo note only,demo
0021,5,3,Kaitlyn,Lampart,Senior Building Surveyor,2007-04-01,Kaitlyn.Lampart@Nordwick.co.uk,07700986712,Demo note only,demo
0016,5,5,Doro,Thoday,Civil Engineer,2006-02-01,Doro.Thoday@Nordwick.co.uk,07700910439,Demo note only,demo
0142,5,7,Lynn,Blondelle,Estates Surveyor,2021-12-16,Lynn.Blondelle@Nordwick.co.uk,07700945320,Demo note only,demo
0078,3,1,Perri,Huish,BIM/CAD Manager,2019-04-01,Perri.Huish@Nordwick.co.uk,07700930059,Demo note only,demo
0128,3,10,Madella,Flowitt,Senior Quantity Surveyor,2024-01-01,Madella.Flowitt@Nordwick.co.uk,07700994938,Demo note only,demo
0092,3,1,Katharina,Benck,Senior Architect,2021-04-01,Katharina.Benck@Nordwick.co.uk,07700923861,Demo note only,demo
0090,3,1,Birdie,Szachniewicz,Architectural Technician,2020-09-01,Birdie.Szachniewicz@Nordwick.co.uk,07700916547,Demo note only,demo
0038,3,1,Rodolfo,Spellacy,Senior Manager,2013-02-01,Rodolfo.Spellacy@Nordwick.co.uk,07700991204,Demo note only,demo
0057,3,1,Natty,Tarbard,Senior Architect,2016-11-01,Natty.Tarbard@Nordwick.co.uk,07700955381,Demo note only,demo
0076,3,6,Guenevere,Popplestone,Electrical Engineer,2019-02-01,Guenevere.Popplestone@Nordwick.co.uk,07700973928,Demo note only,demo
0026,3,8,Jewelle,Brimham,Mechanical Engineer,2011-03-01,Jewelle.Brimham@Nordwick.co.uk,07700943654,Demo note only,demo
0071,3,3,Gratiana,Attack,Senior Building Surveyor,2018-05-01,Gratiana.Attack@Nordwick.co.uk,07700980329,Demo note only,demo
0010,3,10,Melvin,Rosten,Senior Quantity Surveyor,2004-10-01,Melvin.Rosten@Nordwick.co.uk,07700912016,Demo note only,demo
0111,3,1,Leda,Ludlamme,Architectural Assistant (Part II),2022-09-01,Leda.Ludlamme@Nordwick.co.uk,07700992677,Demo note only,demo
0108,3,1,Shanna,Gier,Senior Architect,2022-06-01,Shanna.Gier@Nordwick.co.uk,07700971042,Demo note only,demo
0035,3,3,Emlyn,Frances,Senior Building Surveyor,2012-07-01,Emlyn.Frances@Nordwick.co.uk,07700905136,Demo note only,demo
0081,3,1,Brigit,Quarlis,Architect,2019-09-01,Brigit.Quarlis@Nordwick.co.uk,07700944567,Demo note only,demo
0029,3,10,Lena,Redmire,Senior Quantity Surveyor,2012-02-01,Lena.Redmire@Nordwick.co.uk,07700963014,Demo note only,demo
0073,3,1,Charlean,Hoffmann,Architectural Assistant (Part I),2018-07-01,Charlean.Hoffmann@Nordwick.co.uk,07700929470,Demo note only,demo
0048,3,10,Ravid,Rebert,Quantity Surveyor,2014-10-01,Ravid.Rebert@Nordwick.co.uk,07700947793,Demo note only,demo
0074,3,11,Margareta,Cudmore,Senior Manager,2018-09-01,Margareta.Cudmore@Nordwick.co.uk,07700909938,Demo note only,demo
0115,3,1,Ware,Twelve,Senior Architectural Technologist,2023-04-01,Ware.Twelve@Nordwick.co.uk,07700978004,Demo note only,demo
0080,3,1,Raine,Drinkall,Architect,2019-05-01,Raine.Drinkall@Nordwick.co.uk,07700932168,Demo note only,demo
0079,3,10,Clarette,Greetland,Senior Quantity Surveyor,2019-04-01,Clarette.Greetland@Nordwick.co.uk,07700950694,Demo note only,demo
0070,3,3,Clint,Drinkall,Senior Building Surveyor,2018-04-01,Clint.Drinkall@Nordwick.co.uk,07700961483,Demo note only,demo
0062,3,1,Elita,Naulls,Architectural Assistant (Part II),2017-06-01,Elita.Naulls@Nordwick.co.uk,07700982093,Demo note only,demo
0025,3,1,Ly,Albrooke,Senior Architect,2011-01-01,Ly.Albrooke@Nordwick.co.uk,07700978430,Demo note only,demo
0067,3,3,Meryl,Carvilla,Senior Manager,2018-02-01,Meryl.Carvilla@Nordwick.co.uk,07700901569,Demo note only,demo
0131,3,3,Woody,Lechelle,Building Surveyor,2024-12-01,Woody.Lechelle@Nordwick.co.uk,07700934217,Demo note only,demo
0088,3,1,Quintus,Foister,Senior Architect,2020-03-01,Quintus.Foister@Nordwick.co.uk,07700991863,Demo note only,demo
0052,3,1,Judon,Ellum,Senior Architect,2015-03-01,Judon.Ellum@Nordwick.co.uk,07700920856,Demo note only,demo
0061,3,6,Milzie,Kidds,Senior Electrical Engineer,2017-04-01,Milzie.Kidds@Nordwick.co.uk,07700953477,Demo note only,demo
0011,3,8,Christa,Simcoe,Mechanical Engineer,2004-10-01,Christa.Simcoe@Nordwick.co.uk,07700997103,Demo note only,demo
0012,3,6,Burk,Duigan,Electrical Engineer,2004-10-01,Burk.Duigan@Nordwick.co.uk,07700966618,Demo note only,demo
0107,3,1,Burke,Purviss,Senior Architect,2022-05-01,Burke.Purviss@Nordwick.co.uk,07700914289,Demo note only,demo
0072,3,1,Abagael,McGeachey,Senior Architect,2018-06-01,Abagael.McGeachey@Nordwick.co.uk,07700985230,Demo note only,demo
0023,3,1,Edi,Eversley,Architectural Assistant (Part II),2008-11-01,Edi.Eversley@Nordwick.co.uk,07700900754,Demo note only,demo
0030,3,1,Vilma,Gingell,Architectural Technician,2012-02-01,Vilma.Gingell@Nordwick.co.uk,07700999563,Demo note only,demo
0089,3,1,Inger,Maffy,Senior Architect,2020-03-01,Inger.Maffy@Nordwick.co.uk,07700991027,Demo note only,demo
0034,3,8,Raymund,Faulkener,Senior Mechanical Engineer,2012-05-01,Raymund.Faulkener@Nordwick.co.uk,07700926458,Demo note only,demo
0129,3,3,Minny,Matschek,Building Surveyor,2024-02-04,Minny.Matschek@Nordwick.co.uk,07700980790,Demo note only,demo
0040,3,1,Marsh,Tickle,Senior Manager,2013-07-01,Marsh.Tickle@Nordwick.co.uk,07700955217,Demo note only,demo
0013,3,1,Caitlin,Franzelini,Architectural Technologist,2004-10-01,Caitlin.Franzelini@Nordwick.co.uk,07700961930,Demo note only,demo
0047,3,1,Peyton,Banks,Senior Architect,2014-09-01,Peyton.Banks@Nordwick.co.uk,07700977142,Demo note only,demo
0031,3,6,Eula,Wartnaby,Senior Electrical Engineer,2012-02-01,Eula.Wartnaby@Nordwick.co.uk,07700923614,Demo note only,demo
0095,3,1,Natale,Curtoys,Architectural Technologist,2021-08-01,Natale.Curtoys@Nordwick.co.uk,07700990566,Demo note only,demo
0054,3,3,Germain,Elms,Senior Buiding Surveyor,2015-10-01,Germain.Elms@Nordwick.co.uk,07700911421,Demo note only,demo
0097,3,11,Marvin,Silverston,Senior Structural Engineer,2021-10-01,Marvin.Silverston@Nordwick.co.uk,07700937012,Demo note only,demo
0066,2,11,Franny,Finnick,Senior Structural Engineer,2017-10-03,Franny.Finnick@Nordwick.co.uk,07700944093,Demo note only,demo
0058,2,6,Muffin,Rupel,Senior Electrical Engineer,2016-12-01,Muffin.Rupel@Nordwick.co.uk,07700978850,Demo note only,demo
0042,2,1,Emilio,Gambrell,Senior Architect,2014-01-01,Emilio.Gambrell@Nordwick.co.uk,07700952961,Demo note only,demo
0001,2,8,Basia,Shufflebotham,Senior Manager,1985-10-14,Basia.Shufflebotham@Nordwick.co.uk,07700998243,Demo note only,demo
0120,2,5,Peri,Serris,Civil Engineer,2023-07-01,Peri.Serris@Nordwick.co.uk,07700930641,Demo note only,demo
0110,2,1,Jeramie,Lynch,Senior Architect,2022-09-01,Jeramie.Lynch@Nordwick.co.uk,07700982065,Demo note only,demo
0022,2,8,Leanora,Corthes,Senior Mechanical Engineer,2007-08-01,Leanora.Corthes@Nordwick.co.uk,07700917423,Demo note only,demo
0055,2,9,Lennard,Smeaton,Project Manager,2016-01-01,Lennard.Smeaton@Nordwick.co.uk,07700971590,Demo note only,demo
0075,2,1,Charlena,Vanes,BIM/CAD Manager,2018-11-01,Charlena.Vanes@Nordwick.co.uk,07700962354,Demo note only,demo
0126,2,1,Phyllida,Aubrun,Senior Architect,2023-11-01,Phyllida.Aubrun@Nordwick.co.uk,07700990377,Demo note only,demo
0082,2,11,Genevieve,Henriksson,Structural Engineer,2019-09-01,Genevieve.Henriksson@Nordwick.co.uk,07700946833,Demo note only,demo
0044,2,8,Darcie,Loveday,Senior Mechanical Engineer,2014-03-03,Darcie.Loveday@Nordwick.co.uk,07700936409,Demo note only,demo
0032,2,1,Rachelle,Southerton,Senior Architect,2012-03-01,Rachelle.Southerton@Nordwick.co.uk,07700959142,Demo note only,demo
0050,2,1,Edmon,Prigg,Senior Interior Designer,2014-12-01,Edmon.Prigg@Nordwick.co.uk,07700974931,Demo note only,demo
0045,2,6,Dur,Bern,Senior Manager,2014-06-20,Dur.Bern@Nordwick.co.uk,07700943785,Demo note only,demo
0051,2,5,Ashby,Iannini,Senior Manager,2015-02-23,Ashby.Iannini@Nordwick.co.uk,07700981269,Demo note only,demo
0127,2,11,Dilly,Ledstone,Structural Engineer,2023-11-30,Dilly.Ledstone@Nordwick.co.uk,07700927851,Demo note only,demo
0083,2,1,Lois,Cussons,Interior Designer,2019-09-01,Lois.Cussons@Nordwick.co.uk,07700900793,Demo note only,demo
0068,2,10,Mead,Pinnocke,Senior Quantity Surveyor,2018-02-01,Mead.Pinnocke@Nordwick.co.uk,07700968227,Demo note only,demo
0060,2,8,Morty,Morrad,Mechanical Engineer,2017-01-31,Morty.Morrad@Nordwick.co.uk,07700998614,Demo note only,demo
0124,2,6,Cornela,Loker,Electrical Engineer,2023-10-16,Cornela.Loker@Nordwick.co.uk,07700911948,Demo note only,demo
0002,2,1,Annecorinne,Gobeaux,Senior Architectural Technologist,2000-07-01,Annecorinne.Gobeaux@Nordwick.co.uk,07700970432,Demo note only,demo
0049,2,1,Mickie,Falvey,Senior Architect,2014-11-01,Mickie.Falvey@Nordwick.co.uk,07700929317,Demo note only,demo
0033,2,1,Helen-elizabeth,Hardiman,Senior Interior Designer,2012-03-01,Helen-elizabeth.Hardiman@Nordwick.co.uk,07700955026,Demo note only,demo
0098,2,1,Orson,Letten,Senior Manager,2021-12-01,Orson.Letten@Nordwick.co.uk,07700980073,Demo note only,demo
0043,2,9,Dacie,Tremmil,Senior Manager,2014-02-14,Dacie.Tremmil@Nordwick.co.uk,07700902169,Demo note only,demo
0056,2,11,Janna,Bonnor,Senior Manager,2016-05-01,Janna.Bonnor@Nordwick.co.uk,07700963451,Demo note only,demo
0008,2,1,Ozzy,Paye,Senior Architect,2004-02-02,Ozzy.Paye@Nordwick.co.uk,07700931782,Demo note only,demo
0064,2,5,Janie,Betjeman,Senior Civil Engineer,2017-09-01,Janie.Betjeman@Nordwick.co.uk,07700927094,Demo note only,demo
0004,2,1,Jen,Cunniff,Senior Architectural Technologist,2002-04-01,Jen.Cunniff@Nordwick.co.uk,07700942310,Demo note only,demo
0053,2,5,Stacy,Picken,Senior Civil Engineer,2015-07-15,Stacy.Picken@Nordwick.co.uk,07700991256,Demo note only,demo
0005,2,8,Trevor,Cornick,Senior Mechanical Engineer,2002-05-01,Trevor.Cornick@Nordwick.co.uk,07700959930,Demo note only,demo
0015,2,1,De,Mickelwright,Senior Architectural Technologist,2005-09-01,De.Mickelwright@Nordwick.co.uk,07700978261,Demo note only,demo
0096,2,9,Augustine,Quogan,Project Manager,2021-09-01,Augustine.Quogan@Nordwick.co.uk,07700985437,Demo note only,demo
0085,2,8,Jeremias,Robertson,Mechanical Engineer,2019-09-01,Jeremias.Robertson@Nordwick.co.uk,07700992968,Demo note only,demo
0114,2,6,Linn,Burnapp,Senior Electrical Engineer,2023-03-27,Linn.Burnapp@Nordwick.co.uk,07700903745,Demo note only,demo
0112,2,9,Kailey,Aylmore,Project Manager,2022-09-01,Kailey.Aylmore@Nordwick.co.uk,07700967231,Demo note only,demo
0119,2,1,Gilberte,Skerman,Architectural Assistant (Part I),2023-06-26,Gilberte.Skerman@Nordwick.co.uk,07700975984,Demo note only,demo
0130,2,4,Gustaf,Rugieri,CDM Advisor,2024-02-12,Gustaf.Rugieri@Nordwick.co.uk,07700980427,Demo note only,demo
0125,2,3,Iorgo,O'Carroll,Senior Buiding Surveyor,2023-11-01,Iorgo.O'Carroll@Nordwick.co.uk,07700989861,Demo note only,demo
0009,2,3,Camile,Spoerl,Senior Manager,2004-05-01,Camile.Spoerl@Nordwick.co.uk,07700905679,Demo note only,demo
0006,2,3,Kayne,Lattin,Senior Buiding Surveyor,2002-07-01,Kayne.Lattin@Nordwick.co.uk,07700921045,Demo note only,demo
0014,2,3,Georgia,Sayburn,Senior Mechanical Engineer,2004-12-01,Georgia.Sayburn@Nordwick.co.uk,07700934498,Demo note only,demo
0003,2,3,Anthea,Worton,Senior Buiding Surveyor,2001-06-01,Anthea.Worton@Nordwick.co.uk,07700915972,Demo note only,demo
0143,2,1,Weidar,Rozalski,Senior Manager,2016-07-07,Weidar.Rozalski@Nordwick.co.uk,07700970518,Demo note only,demo
0144,2,5,Urban,Goomes,Civil Engineer,2020-10-01,Urban.Goomes@Nordwick.co.uk,07700956143,Demo note only,demo
0145,1,1,Basia,Blindmann,Senior Architect,2024-04-15,Basia.Blindmann@Nordwick.co.uk,07700999974,Demo note only,demo
0147,1,1,Valentijn,Eliyahu,Architectural Assistant (Part II),2017-09-22,Valentijn.Eliyahu@Nordwick.co.uk,07700936682,Demo note only,demo
0148,2,10,Maribeth,Worrill,Senior Manager,2022-09-18,Maribeth.Worrill@Nordwick.co.uk,07700975430,Demo note only,demo
0149,1,1,Christin,Pleuman,Senior Manager,2018-08-05,Christin.Pleuman@Nordwick.co.uk,07700948714,Demo note only,demo
0150,4,8,Odelinda,Phetteplace,Mechanical Engineer,2017-06-05,Odelinda.Phetteplace@Nordwick.co.uk,07700969943,Demo note only,demo
0151,4,3,Marna,Pocknoll,Senior Manager,2001-05-02,Marna.Pocknoll@Nordwick.co.uk,07700916382,Demo note only,demo
0152,4,9,Royal,Germon,Project Manager,2023-01-01,Royal.Germon@Nordwick.co.uk,07700986150,Demo note only,demo
0153,4,6,Shurlocke,Lowten,Senior Electrical Engineer,2022-07-14,Shurlocke.Lowten@Nordwick.co.uk,07700924238,Demo note only,demo
0154,4,6,Hugibert,Mifflin,Electrical Engineer,2011-02-13,Hugibert.Mifflin@Nordwick.co.uk,07700947096,Demo note only,demo
0155,3,9,Addison,Blackley,Clerk of Works ,2012-05-12,Addison.Blackley@Nordwick.co.uk,07700902861,Demo note only,demo
0156,3,9,Calla,McArdle,Clerk of Works ,2012-05-05,Calla.McArdle@Nordwick.co.uk,07700954103,Demo note only,demo
0157,3,10,Karen,Strotone,Quantity Surveyor,2015-01-27,Karen.Strotone@Nordwick.co.uk,07700962197,Demo note only,demo
0158,1,9,Noami,Simonitto,Project Manager,2022-07-16,Noami.Simonitto@Nordwick.co.uk,07700983742,Demo note only,demo
0159,4,3,Othello,Collibear,Mechanical Engineer,2022-06-01,Othello.Collibear@Nordwick.co.uk,07700998563,Demo note only,demo
0160,1,10,Clevie,O' Donohue,Senior Manager,2004-10-01,Clevie.O' Donohue@Nordwick.co.uk,07700919657,Demo note only,demo
0161,1,8,Lanita,Dunridge,Senior Mechanical Engineer,2012-01-25,Lanita.Dunridge@Nordwick.co.uk,07700995731,Demo note only,demo
0162,4,10,Rossy,Skirrow,Senior Manager,2014-02-02,Rossy.Skirrow@Nordwick.co.uk,07700974005,Demo note only,demo
0163,4,10,Dorey,Nial,Senior Quantity Surveyor,2019-04-01,Dorey.Nial@Nordwick.co.uk,07700931367,Demo note only,demo
0164,4,10,Nadya,Wailes,Senior Quantity Surveyor,2022-04-01,Nadya.Wailes@Nordwick.co.uk,07700916094,Demo note only,demo
0165,3,3,Garfield,Briscow,Building Surveyor,2022-01-01,Garfield.Briscow@Nordwick.co.uk,07700973182,Demo note only,demo
0166,1,10,Pedro,Bladon,Senior Quantity Surveyor,2019-05-19,Pedro.Bladon@Nordwick.co.uk,07700987451,Demo note only,demo
0167,3,8,Otes,Weldrick,Mechanical Engineer,2003-06-01,Otes.Weldrick@Nordwick.co.uk,07700945087,Demo note only,demo
0168,4,1,Walker,Zorn,Architectural Assistant (Part II),2021-08-16,Walker.Zorn@Nordwick.co.uk,07700901584,Demo note only,demo
0169,2,3,Milly,Bywater,Building Surveyor,2013-08-24,Milly.Bywater@Nordwick.co.uk,07700969240,Demo note only,demo
0170,2,9,Dietrich,D'Oyly,Clerk of Works ,2015-04-26,Dietrich.D'Oyly@Nordwick.co.uk,07700928401,Demo note only,demo
0171,4,1,Chaddy,Winchester,Senior Landscape Architect,2022-02-09,Chaddy.Winchester@Nordwick.co.uk,07700953244,Demo note only,demo
0172,4,3,Jannel,Kuhl,Building Surveyor,2021-10-27,Jannel.Kuhl@Nordwick.co.uk,07700999160,Demo note only,demo
0173,4,1,Sterling,Rodders,Senior Architect,2020-11-11,Sterling.Rodders@Nordwick.co.uk,07700930772,Demo note only,demo
0174,4,3,Izabel,Cattach,Senior Buiding Surveyor,2015-07-25,Izabel.Cattach@Nordwick.co.uk,07700968745,Demo note only,demo
0175,4,9,Dollie,Steger,Project Manager,2019-09-08,Dollie.Steger@Nordwick.co.uk,07700907912,Demo note only,demo
0176,4,9,Karylin,Supple,Senior Manager,2017-06-22,Karylin.Supple@Nordwick.co.uk,07700925891,Demo note only,demo
0177,4,10,Reider,Thickens,Senior Quantity Surveyor,2016-06-16,Reider.Thickens@Nordwick.co.uk,07700994126,Demo note only,demo
0178,4,10,Vanna,Falconer-Taylor,Quantity Surveyor,2016-10-17,Vanna.Falconer-Taylor@Nordwick.co.uk,07700911697,Demo note only,demo
0179,2,3,Bunni,Pusey,Building Surveyor,2018-05-27,Bunni.Pusey@Nordwick.co.uk,07700957108,Demo note only,demo
0180,3,10,Othelia,Galletly,Quantity Surveyor,2015-01-27,Othelia.Galletly@Nordwick.co.uk,07700982463,Demo note only,demo
0181,3,11,Aloisia,Lidster,Structural Engineer,2012-04-14,Aloisia.Lidster@Nordwick.co.uk,07700900934,Demo note only,demo
0182,3,1,Gasper,Hussell,Architectural Assistant (Part II),2014-05-29,Gasper.Hussell@Nordwick.co.uk,07700926013,Demo note only,demo
0183,2,7,Dominga,Mossom,Estates Support,2001-09-11,Dominga.Mossom@Nordwick.co.uk,07700994751,Demo note only,demo
0184,5,11,Roby,De Freyne,Senior Structural Engineer,2022-05-19,Roby.De Freyne@Nordwick.co.uk,07700938520,Demo note only,demo
0185,2,7,Noby,Keningham,Senior Manager,2013-02-12,Noby.Keningham@Nordwick.co.uk,07700914357,Demo note only,demo
0186,3,1,Abdel,Graalmans,Landscape Architect,2014-01-13,Abdel.Graalmans@Nordwick.co.uk,07700966724,Demo note only,demo
0187,2,3,Brandy,Cremer,Senior Manager,2020-10-08,Brandy.Cremer@Nordwick.co.uk,07700980296,Demo note only,demo
0188,4,9,Philipa,Pessold,Senior Manager,2018-08-18,Philipa.Pessold@Nordwick.co.uk,07700948563,Demo note only,demo
0189,2,3,Timi,Plaster,Senior Land Surveyor,2017-03-18,Timi.Plaster@Nordwick.co.uk,07700997411,Demo note only,demo
0190,5,10,Cosetta,Glasebrook,Senior Quantity Surveyor,2004-10-01,Cosetta.Glasebrook@Nordwick.co.uk,07700973145,Demo note only,demo
0191,2,7,Finn,Elder,Land Surveyor,2020-09-27,Finn.Elder@Nordwick.co.uk,07700920418,Demo note only,demo
0192,2,7,Mead,Jedras,Senior Land Surveyor,2011-03-01,Mead.Jedras@Nordwick.co.uk,07700968975,Demo note only,demo
0193,2,7,Waring,Windybank,Estates Support,2013-12-16,Waring.Windybank@Nordwick.co.uk,07700995680,Demo note only,demo
0194,1,7,Daniel,Wilstead,Senior Manager,2018-01-17,Daniel.Wilstead@Nordwick.co.uk,07700931196,Demo note only,demo
0195,2,1,Gwenora,Dummett,Senior BIM/CAD Technician,2019-02-18,Gwenora.Dummett@Nordwick.co.uk,07700976691,Demo note only,demo
